Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2.5,3.5,8,12.5,18,22,25.5,25,20.5,15,9,4
2.7,3.8,8.2,12.8,18.3,22.3,25.7,25.2,20.7,15.2,9.2,4.2
2.6,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.8,3.9,8.3,12.9,18.4,22.4,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.7,8.2,12.7,18.2,22.2,25.7,25.2,20.7,15.2,9.2,4.2
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.7,8.2,12.7,18.2,22.2,25.7,25.2,20.7,15.2,9.2,4.2
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.7,8.2,12.7,18.2,22.2,25.7,25.2,20.7,15.2,9.2,4.2
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.7,8.2,12.7,18.2,22.2,25.7,25.2,20.7,15.2,9.2,4.2
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.7,8.2,12.7,18.2,22.2,25.7,25.2,20.7,15.2,9.2,4.2
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
2.8,3.8,8.3,12.8,18.3,22.3,25.8,25.3,20.8,15.3,9.3,4.3
2.7,3.6,8.1,12.6,18.1,22.1,25.6,25.1,20.6,15.1,9.1,4.1
2.9,4,8.4,13,18.5,22.5,25.9,25.4,20.9,15.4,9.4,4.4
