ISBN;Título;Autor
37604947;Cien años de soledad;Gabriel García Márquez
37604954;Don Quijote de la Mancha;Miguel de Cervantes
37604961;La sombra del viento;Carlos Ruiz Zafón
37604978;El amor en los tiempos del cólera;Gabriel García Márquez
37604985;Rayuela;Julio Cortázar
37604992;Pedro Páramo;Juan Rulfo
37605005;Los detectives salvajes;Roberto Bolaño
37605012;Ficciones;Jorge Luis Borges
37605029;La ciudad y los perros;Mario Vargas Llosa
37605036;La tregua;Mario Benedetti
37605043;El túnel;Ernesto Sabato
37605050;Crónica de una muerte anunciada;Gabriel García Márquez
