ISBN: 37605050; Titulo: Crónica de una muerte anunciada; Autor: Gabriel García Márquez
ISBN: 37604992; Titulo: Pedro Páramo; Autor: Juan Rulfo
ISBN: 37605036; Titulo: La tregua; Autor: Mario Benedetti
ISBN: 37605029; Titulo: La ciudad y los perros; Autor: Mario Vargas Llosa
ISBN: 37604985; Titulo: Rayuela; Autor: Julio Cortázar
ISBN: 37604947; Titulo: Cien años de soledad; Autor: Gabriel García Márquez
ISBN: 37604978; Titulo: El amor en los tiempos del cólera; Autor: Gabriel García Márquez
ISBN: 37605065; Titulo: Crónica de una muerte anunciada; Autor: Gabriel García Márquez
ISBN: 37605005; Titulo: Los detectives salvajes; Autor: Roberto Bolaño
ISBN: 37605012; Titulo: Ficciones; Autor: Jorge Luis Borges
ISBN: 37604954; Titulo: Don Quijote de la Mancha; Autor: Miguel de Cervantes
ISBN: 37605044; Titulo: Mil novecientos ochenta y cuatro; Autor: George Orwell
ISBN: 37604961; Titulo: La sombra del viento; Autor: Carlos Ruiz Zafón
ISBN: 37605096; Titulo: La carretera; Autor: Cormac McCarthy
ISBN: 37605043; Titulo: El túnel; Autor: Ernesto Sabato
ISBN: 37605072; Titulo: La metamorfosis; Autor: Franz Kafka
