ingresos_mensuales,deuda_actual,historial_crediticio,edad,num_prestamos_previos,IMPAGO
1398.685661204493,771.1838991658593,8,18,2,0
1144.694279531526,890.4553981598583,1,20,1,0
1459.075415240277,500.60748504500316,8,64,3,0
1809.2119425632102,416.32897964767494,6,43,5,0
1106.3386501106656,274.45484203266057,4,48,2,0
1106.3452172203279,352.3768410063135,8,43,2,0
1831.6851262029566,1484.7283275926175,3,40,1,0
1506.9738916611636,973.403874221036,4,47,3,0
1012.2102456260192,194.67769013759357,6,27,1,0
1417.0240174343858,203.26261297692895,7,25,2,0
1014.6329228750151,744.5598185155475,4,61,2,0
1013.7080985718973,764.1794392133901,4,42,1,0
1296.7849086264137,764.6651505952093,7,39,4,0
434.6879021368809,523.5132619338906,6,32,2,0
510.0328669947869,562.3637219991299,8,58,1,0
975.0849883036109,698.3638572478072,1,27,2,0
794.8675518662305,625.7679018879991,7,37,0,0
1325.6989330381095,0.0,7,58,0,0
836.7903697915156,531.0601108274418,7,64,1,0
635.0785194658835,344.57806972190593,7,40,0,0
1786.2595075686218,652.5634256725536,8,18,2,0
1109.6894798053856,1495.577700781023,9,19,4,0
1227.0112818751695,710.2444996422913,9,36,2,0
630.1007255146172,505.9410941482806,2,31,5,0
982.2469101899269,876.5404505931756,7,25,4,0
1244.3690358839465,744.8063661627638,7,55,4,0
739.6025690310789,726.0283471355524,4,29,2,0
1350.2792073382689,782.0551779647013,9,43,3,0
959.744524032478,1216.9630694488624,8,44,3,0
1083.3225000826892,260.7334694022253,1,46,2,0
959.3173551082413,742.0896230434364,2,32,3,1
1940.911273803575,322.0856610055385,2,63,2,0
1194.6011101048264,766.6537939026745,8,18,1,0
776.9156284176399,324.39404655417167,1,60,2,1
1529.0179648412757,474.7899559184747,4,45,1,0
711.6625400115911,511.4730257286281,5,20,1,0
1283.545438001902,892.7450158034127,9,68,6,0
416.1319504480898,875.5363331827241,7,35,2,0
668.7255804406278,226.28478706608468,8,69,1,0
1278.7444943476494,616.4802332999546,9,51,2,0
1495.3866319981641,387.1260435752482,7,49,1,0
1268.5473124759883,222.4485267973996,5,46,2,0
1153.7406870447037,534.8948848726889,5,42,4,0
1079.5585217642845,507.45516346325405,6,43,1,0
608.591203853029,1328.0149459036566,5,56,1,0
912.0623166421166,729.8879476082088,9,25,4,0
1015.744491616085,186.71474977372884,3,36,4,1
1622.8488904875662,430.56779874871734,3,64,2,1
1337.4473158273845,906.4149886288195,7,59,3,0
494.7839378549064,1226.5328318609775,7,39,3,0
1329.6335877579181,124.20500632861251,6,46,3,0
1045.9670878334734,36.02268445828645,3,50,1,0
929.2311998776165,1161.2895526115346,7,55,1,0
1444.6705155363472,716.8842532112711,5,62,0,0
1612.3998089983804,339.5121804370901,7,63,0,0
1572.5120476464795,760.3887258367306,2,52,2,0
864.3129907109446,0.0,6,60,2,0
1076.3150496595142,601.0126519791482,8,20,3,0
1332.5053725614257,698.3463518529256,1,36,3,0
1590.2180508489437,877.281041861349,4,27,3,0
1008.3303048618841,295.83121431223867,1,44,2,0
1125.7364093344731,625.7061484210077,1,32,2,0
757.4660103975887,322.3726121821238,8,28,1,0
721.5173503677318,676.6151267022951,7,64,1,0
1525.0103289576791,331.39610329109274,1,43,3,1
1742.4960114283292,477.5697482519338,2,41,6,0
1171.1959513678664,301.2553815629313,4,30,0,0
1601.4131591568098,795.3408725470971,1,49,2,0
1344.6544100190536,857.5353349969996,3,54,2,0
941.9520981579503,529.6138290127759,8,21,2,0
1344.5582422033656,611.4713984880085,8,30,1,0
1815.2146265863876,165.42257560993676,8,26,2,0
1185.6695843560194,510.09700559796386,6,66,2,0
1825.8574623256025,584.9386148874765,6,51,2,0
400.0,1386.2379273089925,5,54,1,0
1528.7610017500895,266.40989226775093,9,65,2,0
1234.8188272952684,1039.2531716257313,4,24,0,0
1080.397059813653,899.0576320397424,7,18,2,0
1236.704310614201,684.1909213470409,1,29,2,0
404.97243415964283,1127.58614525854,9,38,3,0
1112.1312448649953,711.6316417820589,7,28,0,0
1342.8450286046987,716.7477587003787,9,61,1,0
1791.1576178966066,584.0638040947364,7,68,2,0
992.691912690541,967.0706647255882,2,61,5,0
876.6025588427249,928.9407701432651,6,61,2,0
999.2971825661854,412.29681375113626,4,31,3,0
1566.1608470808296,204.2258416203698,3,51,3,1
1331.500443863874,539.1058087813029,2,51,0,0
988.0959184931845,359.9884306807061,6,42,2,0
1405.3069732453425,580.9426276153935,8,21,1,0
1238.8310197392161,971.2314404052418,6,69,1,0
1587.4579962131556,462.809503473963,9,43,2,0
919.178762449059,587.1529856065275,5,33,2,0
1068.9351413608927,617.4068204425186,2,27,2,0
1043.1567387471368,854.5292646615853,8,62,1,0
614.5940207471526,0.0,9,19,3,0
1318.4481108258303,417.989911570411,4,52,6,0
1304.4221088719557,663.3851076838419,6,36,1,0
1202.0453826569844,960.0236869280584,8,23,4,0
1106.1651466499413,452.42926574813845,9,36,1,0
633.8517031798343,37.034188187437735,5,69,2,0
1031.7418708938565,785.9134337898408,6,68,0,0
1062.9141933892922,409.39128335231123,4,25,3,0
879.0890923113525,243.10000227289163,5,31,1,0
1135.4857153335963,412.69638308603277,7,27,1,0
1361.6203427258154,544.6423927032452,9,20,1,0
1954.474360484212,418.5766006385362,6,55,1,0
1269.8311251327357,0.0,6,46,0,0
1303.0201562891057,869.1198590661397,8,32,3,0
1170.221633693533,982.4625123836167,4,40,0,0
432.4915138803834,795.4565974018517,3,40,0,0
1189.3944498203132,258.694298872555,7,35,4,0
1224.0920839764105,539.5525398157446,5,63,3,0
2185.2968449941145,598.0436054311626,2,36,3,1
1123.055614087551,779.638316868573,2,45,1,1
1320.618936933445,800.5021466154242,6,43,1,0
1186.1152921179028,379.7478603664513,8,27,3,0
732.5287849521872,624.5986669240681,1,64,0,0
1657.1291258060082,737.1841213845723,6,21,3,0
1500.7732130747097,1036.74669664403,2,19,3,0
1516.4127788172186,811.351961947417,2,20,2,1
836.2450180821045,836.7170062126556,7,24,1,0
1761.1177243744396,625.1479883788082,1,33,4,1
639.2595748830877,1023.1377435610511,6,48,2,0
1434.7428375201082,722.9288387878493,7,27,3,0
2076.1822503239914,341.6736269479289,8,36,2,0
803.7854699477247,1021.0109910375572,7,45,3,0
973.4809081588912,809.3709817617083,6,34,0,0
1239.8605460350566,467.0867936614553,9,45,5,0
998.6097383535204,456.15210978022697,3,36,3,1
579.734627573547,688.9726635422285,6,54,2,0
1227.425189922411,738.9554385802754,4,40,4,0
775.0785145095581,659.187679689362,2,37,1,0
1389.4369722540725,693.3926020328655,1,30,2,0
832.2303063064787,1109.9872123729142,1,30,1,0
1819.973762007016,921.4629456704657,3,60,2,0
886.6986830655052,657.1906773795073,4,28,0,0
1071.1753935177298,882.393174230245,2,65,1,0
1525.4068869478679,290.24282894173814,1,32,2,1
707.6542734264178,719.3781149840427,4,34,2,0
1290.9839738416517,1142.7919049199331,7,67,2,0
1722.8571017129711,534.5862313822879,6,45,3,0
557.006706175509,345.70982141427453,6,36,1,0
1273.8535434129217,404.3733334220818,9,21,2,0
1303.9531176993694,273.1100887972835,2,39,1,1
1512.7291487109242,364.571427561689,4,39,3,0
705.2197156487672,488.84757042299134,5,54,1,0
671.8173547662894,178.32989424640738,1,56,1,0
1408.776626246759,604.6855001848809,8,51,2,0
