edad,meses_inscrito,visitas_mes,gasto_mensual,clases_dirigidas,uso_piscina,indice_fitness
56,44,8,56.132924701036565,16,5,66.58751299132456
69,11,18,37.184970914891984,18,14,72.62638156961737
46,30,11,73.2807347402195,4,10,41.88066223487221
32,15,11,31.079805484675894,19,3,69.04312073085225
60,27,13,57.17082179875738,15,1,25.265319310697446
25,35,3,65.68007125955383,6,11,41.15210524875667
38,33,12,42.35067369059395,6,11,26.51538658227389
56,20,3,28.305340332927543,17,13,50.7788592959788
36,16,10,62.33294383923532,17,1,45.527090342522584
40,34,17,48.05092965075383,1,11,47.06088391613237
28,2,22,57.19974108902615,14,2,71.3095190939357
28,35,2,43.35818101744024,13,1,56.81164852428916
41,40,17,70.97887023483595,17,0,71.00646193151059
53,56,16,15.0,8,13,87.52700539696254
57,28,2,50.64266326925602,13,7,96.89331849268498
41,47,22,65.12624225627397,4,11,52.20391764806806
20,39,20,46.580085672440944,10,4,65.6949064477554
39,6,6,49.535380395253675,7,9,51.90481979401745
19,9,10,38.489822811494875,4,0,75.28398830459426
41,20,10,45.31032761799926,10,12,71.39380223382884
61,1,8,19.922150802955425,4,8,41.789221103755025
47,8,1,34.22353001070463,16,7,44.732589094906594
55,55,13,33.198673093466574,3,3,82.72092714575089
19,23,24,55.03685986543947,14,7,44.01659774454055
38,3,9,36.42945361068398,18,12,52.76409309003354
50,4,22,36.8628667509027,1,11,68.50081818065439
29,58,10,39.331149595722906,16,12,51.68848757024824
39,25,15,33.77032946227024,11,9,85.67930358076394
61,47,5,49.03533403892546,16,6,75.66212011219682
42,38,22,50.66447204149364,9,10,37.316611966120625
66,15,16,57.37527869582639,17,14,43.289867769605365
44,21,13,54.791251234319134,18,10,66.75123082424474
59,35,22,53.29136617477051,17,6,53.95952188832081
45,57,20,40.06547499003835,12,0,16.1888199047469
33,53,18,39.103443744931816,13,5,35.58234255712304
32,53,11,31.931834964773156,15,12,59.68190594342211
64,46,9,31.66134466658848,17,3,72.8109758342442
68,52,16,47.91392114518891,17,13,73.09694074374207
61,14,2,34.20875938829879,15,9,94.25673910208297
69,36,2,67.02486200033938,16,9,41.17077874708876
20,12,12,44.437487653882606,6,9,42.12731640429301
54,17,8,67.5208516073931,11,10,54.493436986796596
68,39,9,53.57650581856751,1,11,21.480528355581
24,9,12,33.34145348292433,9,1,54.938495463981404
38,35,9,44.06930717127273,4,9,51.089902979687125
26,13,10,19.898214883234257,2,6,70.8343571705057
56,15,2,47.85638032597927,18,8,74.23041197122137
35,18,16,34.713473882320244,12,12,62.14547124084923
21,51,20,28.298129876771082,11,4,55.057487416919095
42,33,7,67.8322013782207,2,7,62.28030882927924
31,6,2,60.45881611476431,5,4,39.14344261588019
67,59,1,60.045584681436935,13,13,53.34646222395018
26,27,19,56.731669149764166,3,6,55.33532037744488
43,23,4,26.476664338113256,12,6,53.49829578014214
19,59,24,38.99280760789743,18,8,51.57948060338363
37,27,22,39.907445377951696,17,2,42.57461624899386
45,34,2,19.35394388851603,2,13,34.48794781507898
64,56,14,36.64498357734016,19,0,50.898194866314945
24,46,2,36.808530365744346,5,1,66.88699322695956
61,38,15,46.88998421242443,15,11,20.25190079921127
25,14,12,82.98581400357514,19,5,45.054366930990874
64,36,5,44.68655585092892,2,13,96.38192107790137
52,53,20,46.89771681854501,11,9,51.14046464513759
31,8,7,41.24684590853787,18,9,58.02699504904694
34,35,24,56.065693200806166,18,11,91.77457627341666
53,19,21,28.891241870313344,3,12,61.388705458436
67,30,10,73.44056242730909,0,13,61.845370498249764
57,14,14,43.137611887997714,1,8,36.79706651887237
21,59,14,39.07215250453403,12,2,61.256467724863775
19,20,5,59.550556104956996,12,9,54.704058306236206
23,49,18,31.6361611193272,1,1,73.49826988650344
59,25,24,55.78876474583,18,10,80.54645529356897
21,40,14,66.07755083393042,15,0,55.60623820095008
46,24,2,41.379858413954864,11,1,62.64191904368022
35,14,12,75.79262419619806,0,2,17.202512975118445
43,26,22,54.66437289391881,8,6,10.286963405239753
61,38,24,54.85041389496644,16,1,76.8638437957926
51,23,6,65.48798002778985,9,12,10.0
27,22,4,69.4610243195456,17,4,61.546725347099944
53,48,13,48.9275847960957,18,1,51.52689650823265
31,57,4,56.95358162065406,6,6,79.62705319236336
48,19,22,65.94512239741391,18,9,54.296494713882396
65,46,14,27.572833854578445,14,7,91.04507325635225
32,51,16,19.057464005510283,8,7,50.922031523335896
25,3,4,44.136691193911425,9,12,77.9269780386781
31,42,24,18.6976296387093,19,14,25.035271409920924
40,19,1,40.290073555380715,19,7,10.0
57,9,13,49.71560301298706,3,9,54.43575679462737
38,28,4,40.865418509173104,5,14,26.988072594876094
33,20,20,42.876104278444636,3,8,53.80147004791951
62,45,18,29.975002295686124,4,0,46.73608831576341
35,7,6,56.82215315956416,8,11,67.10286559910725
64,14,3,29.048049493164903,11,0,33.712520646470736
41,9,23,15.0,7,13,63.49307936898604
43,59,13,41.8899184120017,4,14,72.27898674004881
42,55,16,58.72529887379934,10,13,50.8858999855962
62,57,5,46.197461878244646,10,13,64.5646215222296
58,19,4,27.528044773796477,12,9,35.42862190075383
46,47,21,46.52926451109504,13,1,47.346891810568934
32,52,8,51.574555571525245,7,10,28.158591434790093
62,14,19,46.3547503727839,17,14,100.0
18,56,14,41.0312362966712,18,5,79.57587757821031
42,38,7,52.290580224641225,11,13,88.20238555120747
24,53,14,18.92359645769782,11,0,79.28877881033895
26,36,6,31.590669138561292,17,4,41.73681518735234
41,40,12,25.421878532920346,9,14,24.309573371482994
18,17,16,65.22579557982235,6,4,46.518537819716386
61,30,17,55.68047581482581,17,14,64.5061374805947
25,9,13,47.77687551471026,11,14,49.194944883200826
41,33,23,23.240675199707876,13,3,10.304127884995054
28,56,14,56.16221683422179,14,10,69.94149912637131
68,52,7,65.79810202487724,15,4,23.035801815530114
34,25,14,53.57242104695344,1,11,46.55320093355227
25,14,15,44.472338752446646,17,0,89.87568712427601
52,11,12,54.47577047775923,11,10,55.98133475976714
52,53,17,49.09374171379034,15,10,76.53318071135301
50,35,9,58.89114350459608,12,5,61.93639886842361
22,41,22,58.5552846268943,19,6,34.82195224387574
59,59,15,41.6840169508451,16,7,69.5863346117439
56,14,12,35.09037925673835,17,14,53.73548921581881
58,30,2,39.002655889707334,2,1,25.283390623372924
45,41,5,53.03775502507401,9,14,21.92674557177461
24,4,13,39.90840522303287,0,14,62.66538509056663
26,59,20,33.742055727692644,5,6,97.8269007574995
25,4,23,44.9856994312019,2,5,33.474926217742066
29,28,8,61.61185396003427,18,8,35.860572788476375
51,8,14,47.02662100701095,3,14,62.95592713684546
50,2,15,40.85673005999359,19,7,28.721447076988646
65,41,11,49.806476894201474,2,13,100.0
40,46,1,46.260588135748016,7,10,37.68658120568365
41,22,21,15.995444384854832,7,13,45.02115336094131
54,41,3,55.451387145287384,6,14,38.90917031752047
52,56,17,51.11187659920664,1,3,73.69521695965139
61,55,19,45.24257698418619,5,13,98.24499098697686
57,16,14,60.935350510843804,15,12,40.935114315987114
39,29,22,63.19499046375297,9,8,72.33154861940538
44,49,23,56.98152992210327,3,0,28.88186238628172
52,48,8,32.24548775946699,12,10,74.18547838880949
18,30,13,32.764333340595606,9,5,90.16721424393783
52,12,20,61.76003310002975,13,7,84.0471280239793
54,35,3,16.841641095822002,8,10,57.656484686824356
64,11,5,42.767287272568296,10,10,34.343731139814146
31,46,9,51.59738710546624,17,3,55.01542467503613
20,50,6,18.74388396828743,10,1,48.782213856494046
18,21,22,48.51514858275449,16,10,46.06617121546124
22,21,2,59.316436148789286,1,1,59.130997044438644
43,5,13,22.716358948447866,2,9,53.669071184258286
31,48,5,69.87255310041238,10,0,69.15687716465881
56,20,8,29.85254885851635,17,4,69.28689429515866
44,37,23,53.62104369715545,2,12,53.744028718245495
26,3,1,43.746053574620504,14,5,63.64514569201257
32,44,20,46.042734355506774,10,3,81.42770498810683
32,33,12,25.747572964887652,10,3,44.367988913663616
43,53,23,63.90709443529589,19,4,55.317852838958515
59,9,11,49.888251950253505,10,13,34.43289560334763
30,9,7,69.31260265354734,18,14,64.59728263403804
68,4,15,26.138741691314596,0,4,58.970156025954324
49,35,22,42.28148049181959,4,13,64.2173919206189
56,17,24,48.14293859553311,9,13,35.222815949536454
66,34,11,45.90574720942387,9,13,70.31131359795472
69,24,22,55.001780170086306,13,13,57.040457419907604
49,32,16,42.09122187114186,1,8,75.58995657849582
21,1,3,76.83039069451029,3,7,46.24532136749309
47,8,20,45.59763483282269,1,8,68.64821112200099
54,45,14,15.0,17,12,63.90062881114615
40,23,3,46.26301512509058,12,13,85.49301730581678
56,47,1,63.92195977299275,18,2,52.673802045242816
62,40,21,31.150408472241992,4,13,43.90247332170608
32,12,15,30.198672162431453,19,2,45.12427080043351
60,54,1,32.394154404906146,1,0,32.83359951988233
46,12,17,28.852847850343064,10,13,44.93856337628827
53,46,2,37.80897429441009,17,9,10.0
30,47,20,58.63945839523831,5,12,82.37532559186883
49,15,6,67.8949909261904,9,5,93.68095698873682
24,41,8,15.0,16,3,52.04829399621879
68,19,16,39.32318019633814,10,10,63.76202790590989
39,26,19,49.54046991565099,18,14,58.28018217706753
45,52,1,48.04017545077786,16,14,28.738813572091182
19,29,3,73.49909499934334,3,13,75.52519062900217
59,22,3,15.0,13,7,78.5090097767435
62,40,5,15.0,19,1,34.18032698090409
23,21,12,75.93318786057384,3,10,61.59778840755928
45,51,12,56.30150539871005,13,1,49.74477444282712
45,38,20,36.42942619570635,3,6,78.79844012488999
61,20,13,47.57398159601932,5,12,53.342488886293154
61,57,20,48.648264338416,8,14,53.88414034972275
37,29,9,36.06718814496031,11,4,91.41757638906367
47,51,7,47.12667556037151,7,12,29.291687183910025
28,4,4,50.32220061990179,3,0,59.961008615730655
45,55,19,75.23295392044238,4,6,56.7730166315738
42,7,22,59.451768334283116,5,6,42.92771771237801
56,28,19,71.08984710363113,4,9,95.79642672439005
50,28,6,24.846427744906585,18,5,61.730973795711044
18,4,13,39.79204110573213,7,3,68.43546189225448
44,22,11,48.63370475897438,8,11,71.29207966621269
69,12,13,16.183488703005555,14,12,48.582913371559556
30,45,13,62.72789007163921,3,7,79.83528499220735
58,3,22,54.633146584668935,8,11,75.81068890547107
20,22,20,39.49262220069204,6,10,52.55799219739699
56,44,15,42.24998484748822,7,1,73.7653361931655
23,2,21,63.80800333235622,14,1,79.79871811269523
25,24,13,33.068430785445514,18,1,70.90190139458093
44,34,22,64.41278024493431,14,2,38.2956081867368
26,27,11,41.21941895120568,4,5,53.15290547629998
54,55,19,56.339940791653746,18,0,64.50740867707168
50,41,8,46.30146308368481,6,10,60.04241003305469
68,1,20,78.49790769976778,5,1,40.09654390389678
59,8,8,31.689114148387112,18,9,49.268731353370896
61,23,10,36.40076066134599,16,14,62.037332399476405
