transaction_id,customer_id,product_id,quantity,date
1,2487,39,1,2023-04-07
2,2786,99,2,2021-10-11
3,2592,128,1,2021-01-25
4,2380,128,5,2023-08-22
5,1070,196,3,2022-03-30
6,3939,149,1,2021-05-27
7,3468,33,4,2022-08-06
8,2382,168,4,2022-07-18
9,2403,76,4,2022-07-01
10,2556,28,4,2021-03-02
11,2695,103,2,2023-07-07
12,3952,28,1,2020-03-11
13,1570,180,2,2021-04-01
14,2199,53,5,2020-10-17
15,2465,142,5,2022-07-08
16,2936,28,3,2020-10-18
17,3567,24,2,2022-01-25
18,3621,94,3,2023-07-30
19,2150,158,1,2023-03-25
20,1811,149,4,2023-12-07
21,3002,18,3,2021-07-12
22,1316,40,3,2023-04-25
23,3938,38,4,2021-02-24
24,3352,54,1,2020-10-30
25,2773,108,2,2022-11-28
26,3672,195,1,2021-06-25
27,2857,152,3,2022-12-25
28,3234,56,4,2020-09-24
29,3781,88,4,2023-01-18
30,1349,173,5,2020-09-11
31,1440,120,5,2020-09-13
32,2124,87,2,2021-08-21
33,3899,160,2,2021-01-24
34,1935,180,4,2021-08-20
35,3332,189,3,2023-01-29
36,3680,32,2,2021-08-29
37,2957,29,5,2020-02-02
38,1072,154,2,2023-06-06
39,3614,143,4,2022-05-11
40,3435,108,3,2023-12-17
41,2234,150,1,2023-06-23
42,1192,136,5,2022-04-23
43,3487,147,5,2023-03-30
44,3119,137,3,2023-02-14
45,3888,66,2,2020-06-20
46,3738,182,2,2020-09-15
47,2338,142,3,2021-02-25
48,1731,129,5,2023-04-24
49,2744,8,1,2020-12-29
50,1219,37,3,2021-01-12
51,3313,135,3,2021-08-02
52,2669,17,3,2021-12-22
53,2063,58,4,2022-05-30
54,1640,3,2,2021-08-27
55,2779,36,2,2023-04-10
56,1040,36,2,2022-11-14
57,3650,12,1,2023-01-13
58,2807,192,3,2020-05-23
59,3596,185,4,2020-08-11
60,3283,121,4,2020-06-27
61,2751,178,1,2020-09-21
62,1648,197,2,2021-03-04
63,3696,40,5,2021-12-27
64,1601,101,5,2022-12-12
65,1751,138,3,2023-09-15
66,1771,5,3,2022-06-08
67,3650,159,5,2020-05-02
68,3435,113,3,2023-09-24
69,2418,124,2,2020-12-13
70,2022,105,5,2022-09-01
71,3625,54,3,2023-11-20
72,1923,128,5,2023-10-04
73,3188,37,3,2022-12-26
74,3217,27,2,2020-12-05
75,2847,132,4,2021-08-19
76,2269,28,3,2021-07-10
77,1454,189,5,2023-05-03
78,1636,124,1,2020-11-29
79,3227,120,5,2022-10-13
80,1714,94,2,2023-12-19
81,3644,17,1,2023-12-22
82,2522,140,1,2020-09-22
83,1282,26,3,2023-05-16
84,3327,106,1,2020-11-01
85,3339,193,4,2023-09-30
86,2746,157,1,2023-10-23
87,3407,180,1,2021-02-23
88,2089,131,1,2020-06-19
89,3189,21,5,2023-12-21
90,3668,24,1,2023-04-28
91,2056,5,5,2021-10-19
92,2111,44,3,2024-01-07
93,1059,121,1,2023-01-20
94,3823,53,3,2022-12-15
95,3645,42,3,2020-04-20
96,3386,96,1,2020-08-19
97,1517,131,4,2022-01-01
98,2684,11,1,2022-12-27
99,1505,43,1,2022-09-20
100,2063,112,3,2022-07-10
101,1929,125,5,2023-07-16
102,2647,59,5,2020-05-27
103,1778,152,2,2021-01-01
104,1627,52,2,2022-12-25
105,2356,141,2,2022-03-23
106,1826,3,2,2020-06-23
107,3941,156,4,2021-05-09
108,1451,136,5,2023-02-11
109,2298,167,1,2024-01-02
110,3550,70,3,2023-03-16
111,2231,90,3,2022-09-25
112,3226,77,5,2021-06-21
113,1288,179,5,2023-12-22
114,2652,33,1,2021-12-05
115,3390,178,3,2022-07-27
116,3141,194,3,2020-03-16
117,1060,130,4,2021-11-29
118,3082,116,1,2022-07-03
119,3243,146,4,2022-06-09
120,1234,169,4,2020-09-09
121,1809,120,1,2022-11-26
122,3970,70,2,2020-05-06
123,3810,1,3,2023-04-06
124,3757,50,5,2023-09-28
125,2265,126,4,2020-11-05
126,2906,57,4,2021-02-22
127,3026,54,4,2021-11-15
128,2547,67,4,2024-01-02
129,1886,87,5,2022-03-04
130,3192,94,5,2020-03-05
131,3938,18,3,2020-03-04
132,3240,128,3,2022-07-07
133,1005,184,5,2021-05-05
134,3708,197,2,2024-01-26
135,3422,49,1,2020-11-08
136,2899,77,3,2022-03-23
137,3327,1,4,2024-01-29
138,3442,127,3,2023-08-19
139,3205,121,3,2021-11-12
140,3153,145,2,2023-12-26
141,2398,11,4,2020-12-12
142,1135,127,3,2021-10-10
143,2422,49,5,2020-04-18
144,2853,50,1,2021-06-16
145,3336,197,2,2020-10-22
146,3332,169,5,2023-04-15
147,3079,103,4,2020-04-10
148,3778,84,5,2023-11-25
149,1867,126,4,2022-07-25
150,2971,172,2,2020-02-27
151,3498,2,2,2020-10-23
152,2610,15,3,2020-09-05
153,2201,186,5,2021-07-03
154,2909,17,5,2023-01-03
155,3944,109,2,2023-04-06
156,3877,167,3,2023-10-10
157,2316,158,1,2020-05-25
158,3488,18,1,2022-06-11
159,1278,2,5,2022-11-24
160,3832,146,1,2020-06-01
161,2820,23,5,2021-05-22
162,3697,195,3,2020-12-10
163,2545,93,2,2020-08-08
164,1438,186,3,2021-12-23
165,2035,94,1,2021-06-11
166,3203,163,3,2022-04-20
167,3417,132,1,2022-12-01
168,2806,183,3,2021-04-25
169,1966,195,2,2022-05-21
170,2628,71,2,2020-12-10
171,3766,146,5,2020-02-14
172,3600,198,5,2022-12-29
173,2642,65,1,2020-02-17
174,1776,106,3,2021-07-04
175,2671,137,2,2022-10-30
176,2472,139,1,2022-01-25
177,1731,152,2,2022-08-13
178,3797,87,4,2021-01-15
179,3162,146,1,2021-04-23
180,3275,92,4,2020-07-09
181,1293,130,1,2021-09-12
182,1421,112,1,2020-06-02
183,3277,11,4,2023-05-17
184,1246,139,3,2022-12-28
185,3846,62,5,2022-02-26
186,1672,18,2,2021-09-14
187,2489,145,2,2021-06-08
188,3609,97,4,2022-07-26
189,2234,125,5,2023-09-15
190,2708,43,5,2023-01-23
191,2663,166,1,2022-10-28
192,3571,162,3,2020-07-09
193,2044,25,1,2022-09-16
194,1416,138,5,2020-09-23
195,2396,166,3,2021-04-29
196,2238,83,5,2023-08-14
197,1515,156,5,2023-04-02
198,2502,117,5,2023-07-15
199,1039,66,5,2023-01-02
200,2449,157,4,2020-03-13
201,1255,188,4,2020-07-17
202,1634,54,2,2021-07-25
203,3130,120,5,2023-03-20
204,1764,193,5,2023-05-14
205,1235,153,2,2020-06-27
206,3935,20,5,2022-01-04
207,3989,185,1,2022-03-09
208,2518,88,2,2022-02-26
209,3858,11,4,2023-04-21
210,3362,188,1,2021-05-07
211,3528,143,2,2021-10-26
212,1409,99,5,2022-05-20
213,2254,107,4,2023-02-03
214,2751,123,3,2021-11-28
215,2587,27,3,2021-08-16
216,3425,165,3,2022-06-04
217,1127,176,4,2023-04-30
218,1310,55,5,2022-09-05
219,2409,84,3,2022-08-13
220,1321,28,3,2022-06-12
221,1548,125,1,2020-11-19
222,2619,175,1,2022-08-08
223,1642,196,3,2020-07-01
224,3048,151,1,2024-01-30
225,3445,21,4,2021-04-11
226,2698,23,1,2023-03-13
227,1237,119,3,2021-08-17
228,1022,36,2,2023-07-20
229,1541,143,5,2022-08-30
230,3925,82,3,2021-06-29
231,2938,172,4,2021-06-01
232,1275,71,2,2020-08-02
233,1218,188,5,2023-02-23
234,1694,28,1,2024-01-02
235,2124,121,1,2021-11-16
236,2403,34,3,2023-11-07
237,3572,88,3,2022-06-12
238,2338,16,2,2023-07-31
239,2557,145,3,2023-01-03
240,3269,27,5,2020-03-18
241,2285,174,3,2021-11-18
242,1863,83,5,2021-07-19
243,2966,17,3,2023-09-13
244,3386,19,3,2023-02-09
245,1028,199,3,2023-09-12
246,2412,37,1,2021-10-30
247,1252,39,4,2022-11-24
248,2166,170,3,2021-01-21
249,2493,24,5,2021-09-07
250,3210,40,3,2020-01-01
251,1821,140,3,2021-04-08
252,1718,190,4,2023-01-15
253,3071,94,1,2023-02-20
254,3291,75,3,2023-08-14
255,2896,7,5,2021-11-20
256,2398,16,4,2020-06-13
257,1272,100,1,2021-01-17
258,3505,142,1,2023-12-26
259,1251,129,5,2020-08-11
260,3601,45,3,2021-01-06
261,2982,137,3,2020-04-25
262,3818,192,5,2023-09-02
263,2652,153,1,2022-06-10
264,1770,107,4,2021-10-24
265,3356,28,2,2022-12-09
266,3724,138,2,2023-09-20
267,3556,50,3,2020-09-27
268,1150,63,2,2022-03-14
269,3869,82,3,2021-12-02
270,1451,164,5,2023-10-16
271,2067,117,2,2022-09-10
272,2462,26,5,2023-07-03
273,1114,92,4,2022-01-22
274,1119,81,5,2022-10-21
275,1531,63,2,2024-01-09
276,1652,61,4,2020-11-29
277,1309,108,1,2023-10-04
278,1750,73,2,2023-01-10
279,3927,20,5,2022-02-03
280,2166,58,1,2021-07-03
281,3512,83,3,2020-11-05
282,3833,126,2,2023-05-17
283,1275,56,5,2022-08-31
284,1794,16,1,2023-01-22
285,1392,115,5,2020-12-05
286,3842,200,5,2024-01-08
287,2397,27,5,2022-11-11
288,2713,8,3,2020-11-01
289,2149,197,2,2023-02-25
290,1219,176,1,2022-07-27
291,2646,58,1,2022-04-27
292,3920,108,2,2021-05-17
293,1068,54,2,2023-03-01
294,2723,45,5,2022-05-11
295,1485,25,1,2022-09-25
296,3946,199,1,2020-11-20
297,3624,196,5,2021-03-23
298,3319,1,3,2023-04-03
299,2843,155,1,2021-12-09
300,1882,115,2,2020-09-21
301,1069,138,3,2021-09-03
302,2955,182,2,2024-01-02
303,1231,187,5,2023-12-16
304,2745,143,3,2022-05-27
305,1606,142,1,2021-06-13
306,3858,106,1,2022-06-13
307,2764,69,1,2021-05-27
308,1381,184,4,2023-07-07
309,1537,187,5,2023-01-10
310,1437,14,3,2020-02-28
311,2901,166,1,2020-10-10
312,2676,76,2,2023-02-02
313,1999,193,4,2020-11-13
314,2976,33,2,2022-05-23
315,1544,72,1,2020-01-13
316,1668,176,2,2021-11-24
317,1530,182,5,2020-04-22
318,3406,25,5,2020-06-19
319,3496,123,5,2021-03-01
320,1838,92,1,2023-01-07
321,2073,66,2,2022-07-07
322,2332,98,3,2022-01-31
323,1174,174,2,2022-04-05
324,2009,85,4,2020-03-11
325,3325,196,2,2023-08-12
326,2311,143,2,2020-07-11
327,1374,187,4,2021-05-08
328,3226,192,1,2020-02-21
329,1889,22,2,2020-12-28
330,1578,140,5,2022-07-05
331,1325,134,2,2021-06-04
332,3263,95,3,2023-12-25
333,2783,49,4,2023-08-14
334,3876,103,3,2021-11-21
335,1621,75,4,2023-12-05
336,2498,52,1,2020-08-28
337,2289,89,1,2021-06-19
338,3809,144,3,2022-09-08
339,3684,167,1,2022-08-08
340,1248,74,4,2021-09-02
341,2952,37,5,2021-04-03
342,3189,21,4,2020-05-05
343,2814,16,5,2021-02-28
344,2454,49,2,2021-09-01
345,1680,182,1,2023-03-27
