trip_id,user_id,start_station_id,end_station_id,start_time,end_time,duration_min
1,1206,24,22,2023-01-22 08:32:00,2023-01-22 09:11:06,39.11
2,1035,28,40,2023-09-07 10:31:00,2023-09-07 10:37:55,6.93
3,1032,12,47,2023-12-08 04:15:00,2023-12-08 04:47:06,32.11
4,1424,13,16,2023-08-29 23:34:00,2023-08-29 23:34:32,0.55
5,1433,2,23,2023-11-11 07:37:00,2023-11-11 07:40:28,3.47
6,1002,36,38,2023-08-19 12:58:00,2023-08-19 13:13:54,15.91
7,1234,23,26,2023-08-17 09:27:00,2023-08-17 09:52:47,25.79
8,1122,40,22,2023-03-05 02:13:00,2023-03-05 02:21:56,8.94
9,1276,46,20,2023-11-18 04:41:00,2023-11-18 05:16:44,35.74
10,1289,15,13,2023-08-18 16:09:00,2023-08-18 16:18:10,9.17
11,1180,25,28,2023-08-13 06:31:00,2023-08-13 06:39:03,8.07
12,1040,11,3,2023-12-02 04:12:00,2023-12-02 04:33:17,21.28
13,1059,17,40,2023-04-24 20:04:00,2023-04-24 20:26:55,22.93
14,1114,19,31,2023-05-16 16:54:00,2023-05-16 17:09:42,15.71
15,1466,47,21,2023-01-20 05:08:00,2023-01-20 05:13:08,5.14
16,1282,5,5,2023-05-17 07:51:00,2023-05-17 08:00:10,9.17
17,1132,47,38,2023-12-12 01:42:00,2023-12-12 02:06:48,24.81
18,1157,24,50,2023-09-26 12:17:00,2023-09-26 12:35:08,18.14
19,1175,6,14,2023-01-18 11:37:00,2023-01-18 12:03:15,26.26
20,1166,4,33,2023-09-12 07:01:00,2023-09-12 07:11:09,10.15
21,1406,21,38,2023-01-16 16:24:00,2023-01-16 16:44:28,20.47
22,1453,49,23,2023-11-25 15:40:00,2023-11-25 15:48:27,8.45
23,1309,35,11,2023-04-08 11:34:00,2023-04-08 11:51:42,17.7
24,1069,40,17,2023-09-17 21:08:00,2023-09-17 21:35:46,27.78
25,1358,40,30,2023-08-15 12:26:00,2023-08-15 12:38:04,12.08
26,1215,22,9,2023-09-22 22:18:00,2023-09-22 22:46:50,28.83
27,1002,4,14,2023-08-30 14:10:00,2023-08-30 14:20:01,10.02
28,1296,36,28,2023-10-04 01:26:00,2023-10-04 01:53:42,27.7
29,1434,31,48,2023-05-13 00:16:00,2023-05-13 00:28:10,12.17
30,1119,23,18,2023-09-28 15:47:00,2023-09-28 15:50:21,3.36
31,1468,16,19,2023-07-13 21:08:00,2023-07-13 22:07:15,59.26
32,1490,40,44,2023-01-14 19:21:00,2023-01-14 19:55:29,34.5
33,1158,32,40,2023-10-03 06:33:00,2023-10-03 06:35:20,2.34
34,1330,24,44,2023-08-23 09:02:00,2023-08-23 09:29:53,27.89
35,1219,16,26,2023-09-02 05:48:00,2023-09-02 06:10:44,22.74
36,1132,1,6,2023-06-18 02:25:00,2023-06-18 02:39:29,14.5
37,1188,41,6,2023-10-25 19:56:00,2023-10-25 20:12:06,16.1
38,1318,42,30,2023-05-05 11:54:00,2023-05-05 12:09:41,15.7
39,1340,1,41,2023-09-24 10:45:00,2023-09-24 10:59:00,14.0
40,1243,21,13,2023-10-11 16:40:00,2023-10-11 16:42:03,2.05
41,1045,13,6,2023-01-18 10:38:00,2023-01-18 10:44:13,6.23
42,1048,30,11,2023-07-17 14:26:00,2023-07-17 14:49:08,23.14
43,1217,33,32,2023-05-05 17:39:00,2023-05-05 17:45:20,6.34
44,1479,6,47,2023-04-07 07:58:00,2023-04-07 08:28:06,30.1
45,1454,49,10,2023-03-30 23:48:00,2023-03-31 00:23:29,35.49
46,1390,24,12,2023-12-09 14:09:00,2023-12-09 14:32:18,23.31
47,1433,41,20,2023-08-01 09:48:00,2023-08-01 10:09:33,21.56
48,1342,9,10,2023-08-14 18:55:00,2023-08-14 19:36:23,41.39
49,1369,41,20,2023-09-29 07:38:00,2023-09-29 07:49:25,11.43
50,1312,32,18,2023-07-31 06:50:00,2023-07-31 06:53:44,3.74
51,1494,1,30,2023-12-04 02:23:00,2023-12-04 02:35:20,12.33
52,1043,36,41,2023-10-29 22:24:00,2023-10-29 22:41:16,17.27
53,1399,7,32,2023-08-24 11:33:00,2023-08-24 12:02:04,29.07
54,1079,22,3,2023-02-10 16:45:00,2023-02-10 17:16:55,31.93
55,1150,21,15,2023-11-21 14:37:00,2023-11-21 14:49:52,12.87
56,1289,2,43,2023-10-07 23:54:00,2023-10-08 00:21:51,27.86
57,1189,32,11,2023-05-14 22:04:00,2023-05-14 22:21:03,17.06
58,1369,35,34,2023-08-19 14:57:00,2023-08-19 15:08:35,11.59
59,1005,33,26,2023-12-24 06:54:00,2023-12-24 07:01:42,7.7
60,1086,43,25,2023-09-14 10:22:00,2023-09-14 10:38:07,16.13
61,1120,29,30,2023-01-30 04:19:00,2023-01-30 04:44:12,25.22
62,1416,29,33,2023-01-27 10:17:00,2023-01-27 10:38:40,21.68
63,1453,43,45,2023-03-30 01:55:00,2023-03-30 03:41:02,106.05
64,1342,46,5,2023-04-19 00:53:00,2023-04-19 00:58:26,5.44
65,1093,45,18,2023-05-17 16:37:00,2023-05-17 16:43:18,6.31
66,1436,31,35,2023-07-26 14:00:00,2023-07-26 14:42:00,42.01
67,1142,48,45,2023-09-27 08:44:00,2023-09-27 09:09:30,25.5
68,1142,33,5,2023-07-15 16:43:00,2023-07-15 16:48:29,5.5
69,1279,49,20,2023-12-05 20:07:00,2023-12-05 20:31:00,24.0
70,1212,41,10,2023-07-22 02:45:00,2023-07-22 02:51:29,6.49
71,1342,37,43,2023-12-27 21:56:00,2023-12-27 22:11:25,15.42
72,1024,24,14,2023-07-27 21:12:00,2023-07-27 21:24:13,12.23
73,1297,3,47,2023-11-05 18:18:00,2023-11-05 18:37:01,19.03
74,1416,4,15,2023-12-02 21:25:00,2023-12-02 21:35:35,10.59
75,1131,37,10,2023-04-26 17:40:00,2023-04-26 18:04:04,24.07
76,1499,47,16,2023-11-06 14:01:00,2023-11-06 14:16:35,15.58
77,1041,25,4,2023-01-26 04:19:00,2023-01-26 04:38:33,19.55
78,1124,9,4,2023-08-31 09:15:00,2023-08-31 09:36:11,21.19
79,1038,44,43,2023-08-17 04:24:00,2023-08-17 04:48:26,24.44
80,1488,24,5,2023-02-14 07:52:00,2023-02-14 08:02:00,10.01
81,1133,6,19,2023-05-04 16:06:00,2023-05-04 16:47:00,41.0
82,1127,29,40,2023-11-25 07:46:00,2023-11-25 08:05:26,19.44
83,1383,19,43,2023-02-18 18:42:00,2023-02-18 18:52:48,10.81
84,1390,20,28,2023-10-19 19:21:00,2023-10-19 19:26:40,5.67
85,1117,36,20,2023-04-06 00:35:00,2023-04-06 00:48:59,13.99
86,1437,36,11,2023-06-21 00:58:00,2023-06-21 01:14:39,16.65
87,1116,43,20,2023-05-24 11:31:00,2023-05-24 11:33:34,2.58
88,1440,49,29,2023-09-03 18:53:00,2023-09-03 19:13:59,21.0
89,1233,14,32,2023-02-01 10:00:00,2023-02-01 10:10:56,10.95
90,1204,39,22,2023-07-16 23:32:00,2023-07-16 23:37:02,5.05
91,1480,42,20,2023-03-21 02:36:00,2023-03-21 02:51:12,15.21
92,1086,41,41,2023-08-24 14:00:00,2023-08-24 14:13:22,13.37
93,1174,43,24,2023-08-18 22:19:00,2023-08-18 22:22:07,3.13
94,1497,14,32,2023-04-28 05:22:00,2023-04-28 05:42:58,20.97
95,1194,22,2,2023-03-07 07:40:00,2023-03-07 07:46:28,6.47
96,1087,12,42,2023-06-18 11:55:00,2023-06-18 12:12:08,17.15
97,1280,23,15,2023-05-31 11:49:00,2023-05-31 12:01:25,12.43
98,1436,24,29,2023-02-02 06:46:00,2023-02-02 06:58:58,12.98
99,1345,29,8,2023-12-11 20:55:00,2023-12-11 21:12:51,17.86
100,1110,23,11,2023-10-17 21:21:00,2023-10-17 21:41:42,20.71
101,1137,11,49,2023-11-26 20:47:00,2023-11-26 21:23:30,36.5
102,1432,20,3,2023-09-18 13:22:00,2023-09-18 13:49:42,27.7
103,1063,7,13,2023-07-04 17:03:00,2023-07-04 17:09:01,6.02
104,1364,3,12,2023-02-18 06:51:00,2023-02-18 07:51:18,60.31
105,1189,41,40,2023-02-20 00:05:00,2023-02-20 00:14:58,9.97
106,1402,30,35,2023-03-13 05:01:00,2023-03-13 05:18:08,17.15
107,1272,22,11,2023-01-11 13:53:00,2023-01-11 14:08:51,15.87
108,1358,5,24,2023-10-09 13:00:00,2023-10-09 13:53:55,53.92
109,1264,46,3,2023-04-08 03:06:00,2023-04-08 03:31:10,25.18
110,1435,27,37,2023-01-23 01:35:00,2023-01-23 01:46:17,11.28
111,1122,21,44,2023-02-12 21:15:00,2023-02-12 21:26:46,11.78
112,1232,16,28,2023-04-01 17:18:00,2023-04-01 17:56:27,38.46
113,1399,33,32,2023-09-21 03:53:00,2023-09-21 03:59:23,6.39
114,1480,35,43,2023-06-07 14:55:00,2023-06-07 14:59:30,4.51
115,1112,34,31,2023-11-12 22:00:00,2023-11-12 22:12:05,12.09
116,1249,7,41,2023-04-04 08:07:00,2023-04-04 08:27:22,20.37
117,1390,37,28,2023-12-25 05:08:00,2023-12-25 06:06:37,58.62
118,1464,30,47,2023-07-11 08:40:00,2023-07-11 08:43:28,3.47
119,1381,50,1,2023-09-30 08:32:00,2023-09-30 09:06:25,34.42
120,1025,20,19,2023-04-10 03:33:00,2023-04-10 03:55:48,22.8
121,1351,2,44,2023-04-17 06:32:00,2023-04-17 06:47:45,15.75
122,1470,15,47,2023-02-03 17:37:00,2023-02-03 18:15:36,38.61
123,1415,4,32,2023-11-01 15:43:00,2023-11-01 16:28:55,45.93
124,1265,31,20,2023-08-23 22:29:00,2023-08-23 22:49:20,20.33
125,1392,50,33,2023-05-28 06:52:00,2023-05-28 07:29:31,37.52
126,1302,27,49,2023-07-25 07:04:00,2023-07-25 07:17:12,13.22
127,1363,50,43,2023-11-27 17:46:00,2023-11-27 17:57:38,11.65
128,1036,30,37,2023-03-22 08:32:00,2023-03-22 08:48:49,16.82
129,1063,28,30,2023-06-27 06:29:00,2023-06-27 06:39:20,10.34
130,1371,27,32,2023-07-15 21:35:00,2023-07-15 21:59:36,24.61
131,1254,48,16,2023-11-19 23:29:00,2023-11-19 23:45:44,16.74
132,1218,37,21,2023-02-20 20:44:00,2023-02-20 20:53:31,9.52
133,1439,7,36,2023-05-28 08:14:00,2023-05-28 08:28:59,14.99
134,1031,16,47,2023-06-11 14:59:00,2023-06-11 15:18:27,19.46
135,1377,28,24,2023-05-19 20:58:00,2023-05-19 21:03:35,5.6
136,1322,5,9,2023-06-09 20:16:00,2023-06-09 20:33:28,17.47
137,1125,50,35,2023-01-01 14:18:00,2023-01-01 14:25:55,7.92
138,1414,31,1,2023-04-26 05:57:00,2023-04-26 06:03:20,6.34
139,1091,33,4,2023-11-13 07:13:00,2023-11-13 07:22:47,9.8
140,1276,35,15,2023-09-01 14:21:00,2023-09-01 14:27:41,6.7
141,1226,29,46,2023-04-06 23:26:00,2023-04-06 23:34:08,8.14
142,1376,16,20,2023-05-10 22:19:00,2023-05-10 22:42:26,23.44
143,1450,41,4,2023-05-14 18:27:00,2023-05-14 18:34:02,7.03
144,1324,44,13,2023-11-09 04:29:00,2023-11-09 04:52:49,23.82
145,1251,39,33,2023-11-08 23:13:00,2023-11-08 23:40:59,27.99
146,1418,43,37,2023-04-09 23:05:00,2023-04-09 23:19:24,14.41
147,1382,47,30,2023-11-15 17:01:00,2023-11-15 17:23:09,22.15
148,1051,27,25,2023-03-29 12:51:00,2023-03-29 12:59:08,8.15
149,1038,32,41,2023-04-14 07:46:00,2023-04-14 08:04:12,18.21
150,1447,31,20,2023-03-12 13:34:00,2023-03-12 14:07:18,33.3
151,1213,45,24,2023-10-13 04:16:00,2023-10-13 04:40:53,24.89
152,1103,44,44,2023-07-25 19:46:00,2023-07-25 20:18:52,32.87
153,1222,40,19,2023-03-16 20:59:00,2023-03-16 21:06:35,7.59
154,1014,5,15,2023-07-30 23:36:00,2023-07-30 23:48:47,12.79
155,1229,22,8,2023-12-17 09:34:00,2023-12-17 09:50:47,16.8
156,1094,24,22,2023-06-10 06:47:00,2023-06-10 07:10:36,23.62
157,1146,25,36,2023-11-15 17:53:00,2023-11-15 18:12:42,19.71
158,1148,44,42,2023-01-11 10:24:00,2023-01-11 10:31:40,7.68
159,1415,13,2,2023-05-14 21:50:00,2023-05-14 22:00:29,10.49
160,1208,33,48,2023-12-07 08:04:00,2023-12-07 08:12:21,8.36
161,1391,16,39,2023-09-22 01:21:00,2023-09-22 01:25:26,4.44
162,1256,46,19,2023-09-19 01:00:00,2023-09-19 01:30:22,30.38
163,1340,49,1,2023-08-31 12:17:00,2023-08-31 12:56:58,39.97
164,1329,29,14,2023-02-10 08:55:00,2023-02-10 09:04:36,9.61
165,1141,40,32,2023-12-06 22:10:00,2023-12-06 22:25:49,15.82
166,1123,15,2,2023-07-22 15:49:00,2023-07-22 16:14:53,25.89
167,1445,30,5,2023-04-29 01:33:00,2023-04-29 01:45:02,12.04
168,1282,16,34,2023-06-17 05:18:00,2023-06-17 05:48:46,30.78
169,1430,13,28,2023-05-11 07:49:00,2023-05-11 08:06:30,17.51
170,1075,29,27,2023-02-07 07:54:00,2023-02-07 07:58:02,4.05
171,1144,26,47,2023-03-01 09:52:00,2023-03-01 10:47:32,55.55
172,1237,23,50,2023-05-01 13:30:00,2023-05-01 14:56:38,86.64
173,1125,40,4,2023-07-16 00:40:00,2023-07-16 00:50:31,10.53
174,1193,11,41,2023-07-12 07:16:00,2023-07-12 07:45:59,29.99
175,1111,23,17,2023-03-25 19:32:00,2023-03-25 19:52:05,20.09
176,1486,47,16,2023-02-05 08:22:00,2023-02-05 08:34:32,12.54
177,1013,7,27,2023-09-17 07:17:00,2023-09-17 07:34:57,17.96
178,1436,28,17,2023-09-16 19:11:00,2023-09-16 19:44:09,33.15
179,1324,42,15,2023-05-07 19:19:00,2023-05-07 19:54:22,35.38
180,1334,29,6,2023-09-19 17:13:00,2023-09-19 17:21:41,8.7
181,1429,8,6,2023-02-21 12:05:00,2023-02-21 12:20:48,15.8
182,1398,22,39,2023-01-28 04:02:00,2023-01-28 04:08:32,6.54
183,1112,41,21,2023-12-28 06:31:00,2023-12-28 07:06:08,35.14
184,1404,50,17,2023-07-22 03:47:00,2023-07-22 03:48:55,1.92
185,1464,20,20,2023-07-16 15:05:00,2023-07-16 15:23:22,18.38
186,1225,12,7,2023-01-03 07:18:00,2023-01-03 07:39:31,21.52
187,1048,47,16,2023-07-03 12:08:00,2023-07-03 12:19:04,11.08
188,1376,41,14,2023-05-07 07:52:00,2023-05-07 08:06:15,14.26
189,1011,23,43,2023-12-12 17:47:00,2023-12-12 17:54:22,7.37
190,1247,8,9,2023-08-16 02:35:00,2023-08-16 02:53:33,18.57
191,1245,41,24,2023-11-29 10:22:00,2023-11-29 10:48:07,26.12
192,1152,8,30,2023-01-28 20:23:00,2023-01-28 20:33:03,10.05
193,1016,43,33,2023-01-11 06:40:00,2023-01-11 07:26:30,46.5
194,1478,41,22,2023-01-20 18:17:00,2023-01-20 18:41:02,24.05
195,1020,45,29,2023-09-10 12:04:00,2023-09-10 12:14:52,10.88
196,1259,5,16,2023-10-05 16:24:00,2023-10-05 16:39:25,15.42
197,1078,6,10,2023-03-13 14:16:00,2023-03-13 14:29:05,13.09
198,1341,42,41,2023-02-04 20:06:00,2023-02-04 20:21:59,15.99
199,1352,19,49,2023-07-13 14:48:00,2023-07-13 15:03:33,15.56
200,1124,28,11,2023-07-20 02:43:00,2023-07-20 03:20:08,37.15
201,1443,38,50,2023-11-14 02:47:00,2023-11-14 03:21:26,34.44
202,1257,48,2,2023-01-15 20:47:00,2023-01-15 21:01:01,14.03
203,1066,19,23,2023-10-13 09:07:00,2023-10-13 09:34:40,27.68
204,1099,39,41,2023-04-25 17:00:00,2023-04-25 17:29:42,29.71
205,1285,1,16,2023-12-02 06:03:00,2023-12-02 06:25:19,22.32
206,1124,17,49,2023-10-15 15:50:00,2023-10-15 15:58:39,8.66
207,1097,45,21,2023-10-19 20:11:00,2023-10-19 20:23:01,12.03
208,1461,47,49,2023-11-18 13:49:00,2023-11-18 13:50:36,1.6
209,1033,15,5,2023-10-04 16:37:00,2023-10-04 16:57:55,20.92
210,1169,47,2,2023-10-13 11:29:00,2023-10-13 11:59:10,30.18
211,1027,21,38,2023-09-09 21:07:00,2023-09-09 21:23:47,16.79
212,1012,6,26,2023-08-02 01:19:00,2023-08-02 01:36:00,17.0
213,1307,22,8,2023-07-25 01:02:00,2023-07-25 01:17:17,15.29
214,1136,15,13,2023-11-03 13:55:00,2023-11-03 14:10:23,15.39
215,1443,23,40,2023-11-28 00:43:00,2023-11-28 01:13:12,30.2
216,1326,39,24,2023-11-01 08:00:00,2023-11-01 08:04:14,4.24
217,1114,35,33,2023-11-23 19:54:00,2023-11-23 20:14:58,20.97
218,1034,19,44,2023-01-12 17:03:00,2023-01-12 17:07:30,4.5
219,1253,36,26,2023-05-27 12:15:00,2023-05-27 12:34:03,19.06
220,1388,29,31,2023-12-07 01:36:00,2023-12-07 02:01:33,25.55
221,1156,18,32,2023-09-21 07:11:00,2023-09-21 07:44:40,33.68
222,1451,5,11,2023-03-13 11:28:00,2023-03-13 12:20:28,52.47
223,1446,26,35,2023-08-10 09:38:00,2023-08-10 09:53:09,15.15
224,1446,6,24,2023-11-17 14:26:00,2023-11-17 14:42:31,16.52
