view_id,viewer_id,video_id,watch_minutes,view_date,completed
1,5593,114,8.0,2023-07-24 01:40:00,1
2,5363,59,10.26,2023-03-29 17:51:00,0
3,5576,224,2.6,2023-06-13 22:15:00,0
4,5470,137,39.68,2023-09-08 16:52:00,0
5,5069,213,18.9,2023-08-22 00:41:00,0
6,5428,97,8.97,2023-09-10 23:38:00,0
7,5347,101,53.74,2023-09-05 16:10:00,0
8,5336,24,37.02,2023-02-01 09:22:00,0
9,5377,86,10.3,2023-02-12 13:35:00,0
10,5143,64,4.33,2023-07-09 12:59:00,0
11,5469,219,12.89,2023-04-20 21:40:00,0
12,5717,135,8.82,2023-05-02 15:11:00,0
13,5377,1,21.0,2023-04-27 09:50:00,1
14,5570,284,32.82,2023-01-25 05:00:00,0
15,5665,187,71.0,2023-08-04 04:41:00,1
16,5040,49,67.0,2023-08-30 15:16:00,1
17,5266,186,5.8,2023-03-10 01:22:00,0
18,5383,222,23.91,2023-04-02 08:44:00,0
19,5479,90,41.69,2023-08-11 22:20:00,0
20,5784,292,49.43,2023-12-07 00:17:00,0
21,5177,84,28.15,2023-01-05 19:00:00,0
22,5536,166,1.38,2023-05-29 06:54:00,0
23,5498,22,19.68,2023-11-10 10:37:00,0
24,5140,152,78.2,2023-10-14 12:05:00,0
25,5422,170,81.0,2023-10-14 14:44:00,1
26,5068,44,62.68,2023-11-28 04:54:00,0
27,5587,63,46.0,2023-07-08 12:54:00,1
28,5437,41,43.48,2023-09-03 04:47:00,0
29,5521,56,6.0,2023-05-29 23:09:00,1
30,5182,15,25.07,2023-01-30 17:22:00,0
31,5294,56,1.03,2023-04-25 01:40:00,0
32,5434,248,11.99,2023-03-03 22:55:00,0
33,5584,210,40.54,2023-02-22 12:02:00,0
34,5051,214,6.62,2023-06-03 20:19:00,0
35,5743,92,37.0,2023-04-12 00:49:00,1
36,5343,250,15.37,2023-10-14 06:38:00,0
37,5429,52,6.8,2023-03-24 04:50:00,0
38,5790,285,15.42,2023-08-24 21:17:00,0
39,5734,291,17.56,2023-09-10 20:57:00,0
40,5548,59,9.67,2023-08-31 01:15:00,0
41,5477,17,5.8,2023-06-02 15:02:00,0
42,5577,211,78.07,2023-04-19 19:40:00,0
43,5267,164,39.99,2023-04-03 17:32:00,0
44,5460,142,35.0,2023-04-02 15:48:00,1
45,5774,285,4.72,2023-08-28 18:48:00,0
46,5702,17,100.0,2023-07-06 02:07:00,1
47,5561,192,34.0,2023-03-09 21:13:00,1
48,5175,95,5.04,2023-10-04 22:54:00,0
49,5705,175,1.73,2023-06-28 14:20:00,0
50,5238,114,8.0,2023-10-02 12:51:00,1
51,5111,104,4.52,2023-08-13 17:53:00,0
52,5753,46,25.39,2023-11-22 06:05:00,0
53,5529,231,7.21,2023-11-23 23:29:00,0
54,5531,139,27.0,2023-12-27 12:49:00,1
55,5764,12,12.05,2023-11-10 01:08:00,0
56,5054,266,27.65,2023-02-23 11:15:00,0
57,5121,187,56.97,2023-08-10 16:39:00,0
58,5249,110,64.0,2023-10-19 05:14:00,1
59,5461,57,7.16,2023-07-27 12:29:00,0
60,5535,26,10.51,2023-11-27 19:20:00,0
61,5512,94,4.82,2023-06-05 13:07:00,0
62,5372,9,13.09,2023-06-30 01:19:00,0
63,5136,92,9.68,2023-09-26 16:31:00,0
64,5289,81,3.29,2023-06-12 04:18:00,0
65,5454,238,0.03,2023-06-21 20:02:00,0
66,5748,176,61.09,2023-06-05 07:55:00,0
67,5114,291,13.27,2023-03-24 12:17:00,0
68,5133,213,14.69,2023-06-20 05:43:00,0
69,5559,42,9.66,2023-07-16 22:56:00,0
70,5582,90,13.14,2023-03-17 06:23:00,0
71,5639,186,9.23,2023-10-03 06:57:00,0
72,5408,268,1.52,2023-10-05 02:52:00,0
73,5466,101,64.81,2023-11-15 22:18:00,0
74,5758,294,64.92,2023-07-19 01:42:00,0
75,5692,56,0.48,2023-10-21 12:42:00,0
76,5551,9,41.36,2023-07-19 11:25:00,0
77,5175,168,26.9,2023-09-30 09:27:00,0
78,5724,283,42.68,2023-09-09 09:56:00,0
79,5102,68,23.49,2023-12-03 15:21:00,0
80,5718,111,64.14,2023-10-21 03:51:00,0
81,5593,14,3.73,2023-10-29 07:22:00,0
82,5140,156,4.03,2023-04-14 05:49:00,0
